id,session_num,su_num,time_clip_start,time_clip_end,time_start,time_end,place,place_raw,scale,journey,scale_order
1,1.0,1.0,0.0,0.0,1900-01-01 00:00:00,1900-01-01 00:00:30,_end,none,null,null,8
2,1.0,2.0,null,null,1900-01-01 00:00:30,1900-01-01 00:01:44,Rwanda,Rwanda,country,null,6
3,1.0,3.0,null,null,1900-01-01 00:01:44,1900-01-01 00:01:55,_end,none,null,null,8
4,1.0,4.0,null,null,1900-01-01 00:01:55,1900-01-01 00:04:26,Rwanda,Rwanda,country,null,6
5,1.0,5.0,null,null,1900-01-01 00:04:26,1900-01-01 00:04:30,_end,none,null,null,8
6,1.0,6.0,null,null,1900-01-01 00:04:30,1900-01-01 00:04:50,Rwanda,Rwanda,country,null,6
7,1.0,7.0,null,null,1900-01-01 00:04:50,1900-01-01 00:05:00,_end,none,null,null,8
8,1.0,8.0,null,null,1900-01-01 00:05:00,1900-01-01 00:06:27,Rwanda,Rwanda,country,null,6
9,1.0,9.0,null,null,1900-01-01 00:06:27,1900-01-01 00:06:35,_end,none,null,null,8
10,1.0,10.0,null,null,1900-01-01 00:06:35,1900-01-01 00:07:35,Rwanda,Rwanda,country,null,6
11,1.0,11.0,null,null,1900-01-01 00:07:35,1900-01-01 00:08:45,Rwanda,Rwanda,country,null,6
12,1.0,12.0,null,null,1900-01-01 00:08:45,1900-01-01 00:09:08,_end,none,null,null,8
13,1.0,13.0,null,null,1900-01-01 00:09:08,1900-01-01 00:11:10,Rwanda,Rwanda,country,null,6
14,1.0,14.0,null,null,1900-01-01 00:11:10,1900-01-01 00:11:14,_end,none,null,null,8
15,1.0,15.0,null,null,1900-01-01 00:11:14,1900-01-01 00:11:48,Rwanda,Rwanda,country,null,6
16,1.0,16.0,null,null,1900-01-01 00:11:48,1900-01-01 00:11:56,_end,none,null,null,8
17,1.0,17.0,null,null,1900-01-01 00:11:56,1900-01-01 00:12:25,"Kaduha, Rwanda","Kaduha, Rwanda",local,null,3
18,1.0,18.0,null,null,1900-01-01 00:12:25,1900-01-01 00:13:40,Rwanda,Rwanda,country,null,6
19,1.0,19.0,null,null,1900-01-01 00:13:40,1900-01-01 00:14:10,"Nyanza, Rwanda","Nyanza, Rwanda",local,null,3
20,1.0,20.0,null,null,1900-01-01 00:14:10,1900-01-01 00:14:14,_end,none,null,null,8
21,1.0,21.0,null,null,1900-01-01 00:14:14,1900-01-01 00:14:24,Rwanda,Rwanda,country,null,6
22,1.0,22.0,null,null,1900-01-01 00:14:24,1900-01-01 00:14:40,_end,none,null,null,8
23,1.0,23.0,null,null,1900-01-01 00:14:40,1900-01-01 00:15:12,Rwanda,Rwanda,country,null,6
24,1.0,24.0,null,null,1900-01-01 00:15:12,1900-01-01 00:15:45,Rwanda,Rwanda,country,null,6
25,1.0,25.0,null,null,1900-01-01 00:15:45,1900-01-01 00:16:20,_end,none,null,null,8
26,1.0,26.0,null,null,1900-01-01 00:16:20,1900-01-01 00:16:30,Rwanda,Rwanda,country,null,6
27,1.0,27.0,null,null,1900-01-01 00:16:30,1900-01-01 00:17:45,"Nyanza, Rwanda","Nyanza, Rwanda",local,null,3
28,1.0,28.0,null,null,1900-01-01 00:17:45,1900-01-01 00:18:01,_end,none,null,null,8
29,1.0,29.0,null,null,1900-01-01 00:18:01,1900-01-01 00:19:20,"Nyanza, Rwanda","Nyanza, Rwanda",local,null,3
30,1.0,30.0,null,null,1900-01-01 00:19:20,1900-01-01 00:20:16,Rwanda,Rwanda,country,null,6
31,1.0,31.0,null,null,1900-01-01 00:20:16,1900-01-01 00:20:33,_end,none,null,null,8
32,1.0,32.0,null,null,1900-01-01 00:20:33,1900-01-01 00:20:40,_end,none,null,null,8
33,1.0,33.0,null,null,1900-01-01 00:20:40,1900-01-01 00:21:40,"Kigali, Rwanda","Kigali, Rwanda",city / area,null,4
34,1.0,34.0,null,null,1900-01-01 00:21:40,1900-01-01 00:21:47,_end,none,null,null,8
35,1.0,35.0,null,null,1900-01-01 00:21:47,1900-01-01 00:23:08,"Kigali, Rwanda","Kigali, Rwanda",city / area,null,4
36,1.0,36.0,null,null,1900-01-01 00:23:08,1900-01-01 00:23:10,unknown,unknown,null,null,8
37,1.0,37.0,null,null,1900-01-01 00:23:10,1900-01-01 00:25:26,"Kigali, Rwanda; Gitarama, Rwanda; Kibuye, Rwanda; Gisenyi, Rwanda; Goma, Democratic Republic of Congo; Bujumbura, Burundi",Kigali; Gitarama; Kibuye; Gisenyi; Goma; Bujumbura,journey,journey 1,1
38,1.0,38.0,null,null,1900-01-01 00:25:26,1900-01-01 00:25:34,Burundi,Burundi,country,null,6
39,1.0,39.0,null,null,1900-01-01 00:25:34,1900-01-01 00:27:32,"Bujumbura, Burundi","Bujumbura, Burundi",city / area,null,4
40,1.0,40.0,null,null,1900-01-01 00:27:32,1900-01-01 00:27:40,_end,unknown,null,null,8
41,1.0,41.0,null,null,1900-01-01 00:27:40,1900-01-01 00:28:55,Burundi,Burundi,country,null,6
42,1.0,42.0,null,null,1900-01-01 00:28:55,1900-01-01 00:30:09,"Metalusa, Bujumbura, Burundi","Metalusa, Bujumbura, Burundi",very local,null,2
43,1.0,43.0,null,null,1900-01-01 00:30:09,1900-01-01 00:30:14,Burundi,Burundi,country,null,6
44,1.0,44.0,null,null,1900-01-01 00:30:14,1900-01-01 00:31:24,Burundi,Burundi,country,null,6
45,1.0,45.0,null,null,1900-01-01 00:31:24,1900-01-01 00:32:20,Burundi; Democratic Republic of Congo,Burundi; Democratic Republic of Congo,journey,journey 2,1
46,1.0,46.0,null,null,1900-01-01 00:32:20,1900-01-01 00:32:23,_end,none,null,null,8
47,1.0,47.0,null,null,1900-01-01 00:32:23,1900-01-01 00:33:00,Democratic Republic of Congo,Democratic Republic of Congo,country,null,6
48,1.0,48.0,null,null,1900-01-01 00:33:00,1900-01-01 00:33:30,"Bukavu, Democratic Republic of Congo; Goma, Democratic Republic of Congo; Gisenyi, Rwanda; Kigali, Rwanda; Nyamata, Rwanda",Bukavu; Goma; Gisenyi; Kigali; Nyamata,journey,journey 3,1
49,1.0,49.0,null,null,1900-01-01 00:33:30,1900-01-01 00:34:45,"Nyamata, Rwanda","Nyamata, Rwanda",local,null,3
50,1.0,50.0,null,null,1900-01-01 00:34:45,1900-01-01 00:35:00,Democratic Republic of Congo,Democratic Republic of Congo,country,null,6
51,1.0,51.0,null,null,1900-01-01 00:35:00,1900-01-01 00:36:05,"Bukavu, Democratic Republic of Congo","Bukavu, Democratic Republic of Congo",city / area,null,4
52,1.0,52.0,null,null,1900-01-01 00:36:05,1900-01-01 00:36:43,"Bukavu, Democratic Republic of Congo","Bukavu, Democratic Republic of Congo",city / area,null,4
53,1.0,53.0,null,null,1900-01-01 00:36:43,1900-01-01 00:36:46,Democratic Republic of Congo,Democratic Republic of Congo,country,null,6
54,1.0,54.0,null,null,1900-01-01 00:36:46,1900-01-01 00:39:46,Democratic Republic of Congo,Democratic Republic of Congo,country,null,6
55,1.0,55.0,null,null,1900-01-01 00:39:46,1900-01-01 00:40:35,_end,none,null,null,8
56,1.0,56.0,null,null,1900-01-01 00:40:35,1900-01-01 00:41:13,Democratic Republic of Congo,Democratic Republic of Congo,country,null,6
57,1.0,57.0,null,null,1900-01-01 00:41:13,1900-01-01 00:41:15,_end,none,null,null,8
58,1.0,58.0,null,null,1900-01-01 00:41:15,1900-01-01 00:41:46,_end,none,null,null,8
59,1.0,59.0,null,null,1900-01-01 00:41:46,1900-01-01 00:41:54,_end,none,null,null,8
60,1.0,60.0,null,null,1900-01-01 00:41:54,1900-01-01 00:42:25,_end,none,null,null,8
61,1.0,61.0,null,null,1900-01-01 00:42:25,1900-01-01 00:42:35,_end,none,null,null,8
62,1.0,62.0,null,null,1900-01-01 00:42:35,1900-01-01 00:43:56,_end,none,null,null,8
63,1.0,63.0,null,null,1900-01-01 00:43:56,1900-01-01 00:44:02,_end,none,null,null,8
64,1.0,64.0,null,null,1900-01-01 00:44:02,1900-01-01 00:44:56,_end,none,null,null,8
65,1.0,65.0,null,null,1900-01-01 00:44:56,1900-01-01 00:45:05,_end,none,null,null,8
66,1.0,66.0,null,null,1900-01-01 00:45:05,1900-01-01 00:45:43,_end,none,null,null,8
67,1.0,67.0,null,null,1900-01-01 00:45:43,1900-01-01 00:45:56,"Bukavu, Democratic Republic of Congo","Bukavu, Democratic Republic of Congo",city / area,null,4
68,1.0,68.0,null,null,1900-01-01 00:45:56,1900-01-01 00:46:07,"Bukavu, Democratic Republic of Congo","Bukavu, Democratic Republic of Congo",city / area,null,4
69,1.0,69.0,null,null,1900-01-01 00:46:07,1900-01-01 00:46:10,"Bukavu, Democratic Republic of Congo","Bukavu, Democratic Republic of Congo",city / area,null,4
70,1.0,70.0,null,null,1900-01-01 00:46:10,1900-01-01 00:48:33,Democratic Republic of Congo,Democratic Republic of Congo,country,null,6
71,1.0,71.0,null,null,1900-01-01 00:48:33,1900-01-01 00:50:15,"Bujumbura, Burundi","Bujumbura, Burundi",city / area,null,4
72,1.0,72.0,null,null,1900-01-01 00:50:15,1900-01-01 00:50:54,"Bukavu, Democratic Republic of Congo; Bujumbura, Burundi",Bukavu; Bujumbura,journey,Journey 4,1
73,1.0,73.0,null,null,1900-01-01 00:50:54,1900-01-01 00:51:00,"Bujumbura, Burundi","Bujumbura, Burundi",city / area,null,4
74,1.0,74.0,null,null,1900-01-01 00:51:00,1900-01-01 00:51:06,"Bujumbura, Burundi","Bujumbura, Burundi",city / area,null,4
75,1.0,75.0,null,null,1900-01-01 00:51:06,1900-01-01 00:51:47,"Bugesera, Rwanda","Bugesera, Rwanda; Bujumbura, Burundi",city / area,null,4
76,1.0,76.0,null,null,1900-01-01 00:51:47,1900-01-01 00:51:50,_end,none,null,null,8
77,1.0,77.0,null,null,1900-01-01 00:51:50,1900-01-01 00:52:05,"Bukavu, Democratic Republic of Congo",Bukavu; Nyamata,city / area,null,4
78,1.0,78.0,null,null,1900-01-01 00:52:05,1900-01-01 00:52:08,"Bujumbura, Burundi","Bujumbura, Burundi",city / area,null,4
79,1.0,79.0,null,null,1900-01-01 00:52:08,1900-01-01 00:52:55,Rwanda,Rwanda,country,null,6
80,1.0,80.0,null,null,1900-01-01 00:52:55,1900-01-01 00:54:00,Rwanda,Rwanda,country,null,6
81,1.0,81.0,null,null,1900-01-01 00:54:00,1900-01-01 00:56:39,Rwanda,Rwanda,country,null,6
82,1.0,82.0,null,null,1900-01-01 00:56:39,1900-01-01 00:56:54,"Bujumbura, Burundi","Bujumbura, Burundi",city / area,null,4
83,1.0,83.0,null,null,1900-01-01 00:56:54,1900-01-01 01:02:03,"Bujumbura, Burundi","Bujumbura, Burundi",city / area,null,4
84,1.0,84.0,null,null,1900-01-01 01:02:03,1900-01-01 01:04:00,"Bujumbura, Burundi","Bujumbura, Burundi; Rwanda",city / area,null,4
85,1.0,85.0,null,null,1900-01-01 01:04:00,1900-01-01 01:04:37,"Bujumbura, Burundi","Bujumbura, Burundi; Rwanda",city / area,null,4
86,1.0,86.0,null,null,1900-01-01 01:04:37,1900-01-01 01:06:18,"Bukavu, Democratic Republic of Congo","Bukavu, Democratic Republic of Congo; Cyangugu, Rwanda",city / area,null,4
87,1.0,87.0,null,null,1900-01-01 01:06:18,1900-01-01 01:07:40,Africa,Africa,continent,null,7
88,1.0,88.0,null,null,1900-01-01 01:07:40,1900-01-01 01:09:34,"Quebec, Canada","Quebec, Canada",region,null,5
89,1.0,89.0,null,null,1900-01-01 01:09:34,1900-01-01 01:09:44,"Bujumbura, Burundi","Bujumbura, Burundi",city / area,null,4
90,1.0,90.0,null,null,1900-01-01 01:09:44,1900-01-01 01:11:15,"Bujumbura, Burundi","Bujumbura, Burundi",city / area,null,4
91,1.0,91.0,null,null,1900-01-01 01:11:15,1900-01-01 01:11:26,_end,none,null,null,8
92,1.0,92.0,null,null,1900-01-01 01:11:26,1900-01-01 01:12:15,"Bujumbura, Burundi; Bugarama, Rwanda; Bukavu, Democratic Republic of Congo","Bujumbura, Burundi; Bugarama, Rwanda; Bukavu, Democratic Republic of Congo",journey,journey 5,1
93,null,null,null,null,1900-01-01 01:12:15,1900-01-01 01:12:50,"Bukavu, Democratic Republic of Congo","Bukavu, Democratic Republic of Congo",city / area,null,4
94,1.0,93.0,null,null,1900-01-01 01:12:50,1900-01-01 01:14:06,"Bugarama, Rwanda; Bukavu, Democratic Republic of Congo","Bugarama, Rwanda; Bukavu, Democratic Republic of Congo",journey,journey 6,1
95,1.0,94.0,null,null,1900-01-01 01:14:06,1900-01-01 01:16:10,"Bukavu, Democratic Republic of Congo","Bukavu, Democratic Republic of Congo",city / area,null,4
96,1.0,95.0,null,null,1900-01-01 01:16:10,1900-01-01 01:18:23,"Bukavu, Democratic Republic of Congo","Bukavu, Democratic Republic of Congo",city / area,null,4
97,1.0,96.0,null,null,1900-01-01 01:18:23,1900-01-01 01:20:20,"Bukavu, Democratic Republic of Congo","Bukavu, Democratic Republic of Congo",city / area,null,4
98,1.0,97.0,null,null,1900-01-01 01:20:20,1900-01-01 01:20:49,"Bukavu, Democratic Republic of Congo","Bukavu, Democratic Republic of Congo",city / area,null,4
99,1.0,98.0,null,null,1900-01-01 01:20:49,1900-01-01 01:21:27,"Bukavu, Democratic Republic of Congo","Bukavu, Democratic Republic of Congo",city / area,null,4
100,1.0,99.0,null,null,1900-01-01 01:21:27,1900-01-01 01:22:06,"Bukavu, Democratic Republic of Congo; Bujumbura, Burundi",Bukavu; Bujumbura,journey,Journey 7,1
101,1.0,100.0,null,null,1900-01-01 01:22:06,1900-01-01 01:23:48,"Bujumbura, Burundi","Bujumbura, Burundi",city / area,null,4
102,1.0,101.0,null,null,1900-01-01 01:23:48,1900-01-01 01:25:16,Rwanda,Rwanda,country,null,6
103,1.0,102.0,null,null,1900-01-01 01:25:16,1900-01-01 01:26:17,"Bujumbura, Burundi; Europe; Minnesota, USA",Bujumbura; Europe; Minnesota,journey,Journey 8,1
104,1.0,103.0,null,null,1900-01-01 01:26:17,1900-01-01 01:26:34,"Minnesota, USA","Minnesota, US",city / area,null,4
105,1.0,104.0,null,null,1900-01-01 01:26:34,1900-01-01 01:27:05,"Ontario, Canada","Ontario, Canada",region,null,5
106,1.0,105.0,null,null,1900-01-01 01:27:05,1900-01-01 01:27:15,_end,none,null,null,8
107,1.0,106.0,null,null,1900-01-01 01:27:15,1900-01-01 01:28:56,Rwanda,Rwanda,country,null,6
108,1.0,107.0,null,null,1900-01-01 01:28:56,1900-01-01 01:32:20,"Bujumbura, Burundi; Bugusera, Rwanda","Bujumbura, Burundi; Bugesera, Rwanda (Frontière)",journey,journey 9,1
109,1.0,108.0,null,null,1900-01-01 01:32:20,1900-01-01 01:35:55,"Nyamata, Rwanda","Nyamata, Rwanda",local,null,3
110,1.0,109.0,null,null,1900-01-01 01:35:55,1900-01-01 01:37:00,"Nyamata, Rwanda","Nyamata, Rwanda",local,null,3
111,1.0,110.0,null,null,1900-01-01 01:37:00,1900-01-01 01:38:30,"Nyamata, Rwanda","Nyamata, Rwanda",local,null,3
112,1.0,111.0,null,null,1900-01-01 01:38:30,1900-01-01 01:39:40,"Nyamata, Rwanda","Nyamata, Rwanda",local,null,3
113,1.0,112.0,null,null,1900-01-01 01:39:40,1900-01-01 01:40:10,"Nyamata, Rwanda; Kabuga, Rwanda","Nyamata; Kabuga, Rwanda",journey,journey 10,1
114,1.0,113.0,null,null,1900-01-01 01:40:10,1900-01-01 01:41:35,"Kabuga, Rwanda","Kabuga, Rwanda",local,null,3
115,1.0,114.0,null,null,1900-01-01 01:41:35,1900-01-01 01:50:20,Rwanda,Rwanda,country,null,6
116,1.0,115.0,null,null,1900-01-01 01:50:20,1900-01-01 01:50:36,_end,none,null,null,8
117,1.0,116.0,null,null,1900-01-01 01:50:36,1900-01-01 01:51:30,Rwanda,Rwanda,country,null,6
118,1.0,117.0,null,null,1900-01-01 01:51:30,1900-01-01 01:52:10,_end,none,null,null,8
119,1.0,118.0,null,null,1900-01-01 01:52:10,1900-01-01 01:53:25,"Concordia University, Montreal, Canada","Concordia University, Montreal, Canada",very local,null,2
120,1.0,119.0,null,null,1900-01-01 01:53:25,1900-01-01 01:55:10,_end,none,null,null,8
121,1.0,120.0,null,null,1900-01-01 01:55:10,1900-01-01 01:55:38,Rwanda,Rwanda,country,null,6
122,1.0,121.0,null,null,1900-01-01 01:55:38,1900-01-01 01:56:50,Rwanda,Rwanda,country,null,6
123,1.0,122.0,null,null,1900-01-01 01:56:50,1900-01-01 01:56:54,_end,none,null,null,8
124,1.0,123.0,null,null,1900-01-01 01:56:54,1900-01-01 01:58:52,"Kigali, Rwanda","Kigali, Rwanda",city / area,null,4
125,1.0,124.0,null,null,1900-01-01 01:58:52,1900-01-01 01:59:05,Rwanda,Rwanda,country,null,6
126,1.0,125.0,null,null,1900-01-01 01:59:05,1900-01-01 02:01:40,"Nyamata, Rwanda","Nyamata, Rwanda",local,null,3
127,1.0,126.0,null,null,1900-01-01 02:01:40,1900-01-01 02:01:50,_end,none,null,null,8
128,1.0,127.0,null,null,1900-01-01 02:01:50,1900-01-01 02:05:29,Rwanda,Rwanda,country,null,6
129,1.0,128.0,null,null,1900-01-01 02:05:29,1900-01-01 02:07:40,"Southern Province, Rwanda","Southern Province, Rwanda",region,null,5
130,1.0,129.0,null,null,1900-01-01 02:07:40,1900-01-01 02:07:48,_end,none,null,null,8
131,1.0,130.0,null,null,1900-01-01 02:07:48,1900-01-01 02:10:49,"Southern Province, Rwanda","Southern Province, Rwanda",region,null,5
132,1.0,131.0,null,null,1900-01-01 02:10:49,1900-01-01 02:11:00,Rwanda,Rwanda,country,null,6
133,1.0,132.0,null,null,1900-01-01 02:11:00,1900-01-01 02:13:45,"Montreal, Canada","Montreal, Canada",city / area,null,4
134,1.0,133.0,null,null,1900-01-01 02:13:45,1900-01-01 02:14:00,Canada,Canada,country,null,6
135,1.0,134.0,null,null,1900-01-01 02:14:00,1900-01-01 02:19:21,Canada,Canada,country,null,6
136,1.0,135.0,null,null,1900-01-01 02:19:21,1900-01-01 02:19:33,"Montreal, Canada","Montreal, Canada",city / area,null,4
137,1.0,136.0,null,null,1900-01-01 02:19:33,1900-01-01 02:21:27,"Montreal, Canada","Montreal, Canada",city / area,null,4
138,1.0,137.0,null,null,1900-01-01 02:21:27,1900-01-01 02:21:35,Canada,Canada,country,null,6
139,1.0,138.0,null,null,1900-01-01 02:21:35,1900-01-01 02:25:32,Canada,Canada,country,null,6
140,1.0,139.0,null,null,1900-01-01 02:25:32,1900-01-01 02:27:05,"Henri-Bourassa, Montreal, Canada","Henri-Bourassa, Montreal, Canada",local,null,3
141,1.0,140.0,null,null,1900-01-01 02:27:05,1900-01-01 02:28:40,"Montreal, Canada","Montreal, Canada",city / area,null,4
142,1.0,141.0,null,null,1900-01-01 02:28:40,1900-01-01 02:29:05,"Université de Montréal, Montreal, Canada","Université de Montréal, Montreal, Canada",very local,null,2
143,1.0,142.0,null,null,1900-01-01 02:29:05,1900-01-01 02:29:30,"Montreal, Canada","Montreal, Canada",city / area,null,4
144,1.0,143.0,null,null,1900-01-01 02:29:30,1900-01-01 02:29:46,_end,none,null,null,8
145,1.0,144.0,null,null,1900-01-01 02:29:46,1900-01-01 02:30:39,"Centre de documentation sur l'éducation des adultes et la condition féminine, Montreal, Qc","Centre de documentation sur l'éducation des adultes et la condition féminine, Montreal, Qc",very local,null,2
146,1.0,145.0,null,null,1900-01-01 02:30:39,1900-01-01 02:30:50,"Montreal, Canada","Montreal, Canada",city / area,null,4
147,1.0,146.0,null,null,1900-01-01 02:30:50,1900-01-01 02:33:00,"Montreal, Canada","Montreal, Canada",city / area,null,4
148,1.0,147.0,null,null,1900-01-01 02:33:00,1900-01-01 02:33:10,"Montreal, Canada","Montreal, Canada; Rwanda",city / area,null,4
149,1.0,148.0,null,null,1900-01-01 02:33:10,1900-01-01 02:37:09,Rwanda,Rwanda; Canada,country,null,6
150,1.0,149.0,null,null,1900-01-01 02:37:09,1900-01-01 02:37:22,Rwanda,Rwanda,country,null,6
151,1.0,150.0,null,null,1900-01-01 02:37:22,1900-01-01 02:42:05,Rwanda,Rwanda,country,null,6
152,1.0,151.0,null,null,1900-01-01 02:42:05,1900-01-01 02:42:15,"Montreal, Canada","Montreal, Canada",city / area,null,4
153,1.0,152.0,null,null,1900-01-01 02:42:15,1900-01-01 02:42:50,"Montreal, Canada","Montreal, Canada",city / area,null,4
154,1.0,153.0,null,null,1900-01-01 02:42:50,1900-01-01 02:43:00,"Montreal, Canada",Montreal; Rwanda,city / area,null,4
155,null,null,null,null,1900-01-01 02:42:50,1900-01-01 02:43:00,Rwanda,null,country,null,6
156,1.0,154.0,null,null,1900-01-01 02:43:00,1900-01-01 02:44:51,_end,none,null,null,8
157,1.0,155.0,null,null,1900-01-01 02:44:51,1900-01-01 02:45:10,_end,none,null,null,8
158,1.0,156.0,null,null,1900-01-01 02:45:10,1900-01-01 02:46:25,Rwanda,Rwanda; Bukavu; Bujumbura,country,null,6
159,null,null,null,null,1900-01-01 02:45:10,1900-01-01 02:46:25,"Bukavu, Democratic Republic of Congo",null,city / area,null,4
160,null,null,null,null,1900-01-01 02:45:10,1900-01-01 02:46:25,"Bujumbura, Burundi",null,city / area,null,4
161,1.0,157.0,null,null,1900-01-01 02:46:25,1900-01-01 02:46:47,_end,none,null,null,8
162,1.0,158.0,null,null,1900-01-01 02:46:47,1900-01-01 02:48:50,_end,none,null,null,8
163,1.0,159.0,null,null,1900-01-01 02:48:50,1900-01-01 02:49:00,_end,none,null,null,8
164,1.0,160.0,null,null,1900-01-01 02:49:00,1900-01-01 02:49:28,_end,none,null,null,8
165,1.0,161.0,null,null,1900-01-01 02:49:28,1900-01-01 02:49:40,_end,none,null,null,8
166,1.0,162.0,null,null,1900-01-01 02:49:40,1900-01-01 02:49:50,_end,none,null,null,8
167,1.0,163.0,null,null,1900-01-01 02:49:50,1900-01-01 02:51:21,Rwanda,Rwanda,country,null,6
